 TARGET , i 
 TIME , SCORE , F1 , F2 , F3 , FORMANT_FOUND , Sequence 
 4690.3427734375 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 4795.60888671875 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 4936.25 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 5094.5927734375 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 5235.4677734375 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 5358.10888671875 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 5516.7958984375 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 5638.7958984375 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 5760.0458984375 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 5846.4208984375 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 5950.3427734375 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 6054.25 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 6106.18701171875 , 1052.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.06" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 6158.43701171875 , 1048.0 , 758.3 , 2535.5 , 3789.2 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 6296.875 , 1048.0 , 758.3 , 2535.5 , 3789.2 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 6435.98388671875 , 1048.0 , 758.3 , 2535.5 , 3789.2 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 6558.01513671875 , 1048.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 6645.18701171875 , 1048.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 6731.81201171875 , 1048.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 6836.51513671875 , 1048.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 6941.328125 , 1048.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 7081.15576171875 , 1048.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 7168.6708984375 , 1048.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 7255.65576171875 , 1048.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 7360.5458984375 , 1048.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 7465.48388671875 , 1048.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
 7570.7177734375 , 1048.0 , 0.0 , 0.0 , 0.0 , none , 0.98" 0.05" 0.9" 0.9" 0.9" 0.86" 0.26" 0.12"  
