 TIME , SCORE , F1 , F2 , FORMANT_FOUND , Sequence 
 14995.25 , 275.0 , 425.5 , 1824.3 , F1 , 0.48" 0.78" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 15135.515625 , 275.0 , 425.5 , 1824.6 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 15276.4853515625 , 275.0 , 425.5 , 1824.6 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 15435.6884765625 , 275.0 , 425.3 , 1824.1 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 15591.0791015625 , 275.0 , 425.3 , 1824.1 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 15729.1884765625 , 275.0 , 425.3 , 1824.1 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 15867.84375 , 275.0 , 425.3 , 1824.1 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 16026.9541015625 , 275.0 , 425.3 , 1824.1 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 16184.59375 , 275.0 , 425.3 , 1824.1 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 16343.0791015625 , 275.0 , 425.5 , 1824.2 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 16481.078125 , 275.0 , 425.5 , 1824.2 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 16619.34375 , 275.0 , 425.5 , 1824.2 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 16775.171875 , 275.0 , 425.5 , 1824.1 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 16914.220703125 , 275.0 , 425.4 , 1824.2 , F1 , 0.48" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 17069.65625 , 270.0 , 423.7 , 1827.1 , F1 , 0.55" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 17208.59375 , 270.0 , 423.7 , 1827.1 , F1 , 0.55" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 17365.171875 , 270.0 , 423.7 , 1827.1 , F1 , 0.55" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
 17522.5 , 270.0 , 423.7 , 1827.1 , F1 , 0.55" 0.97" 0.88" 0.1" 0.11" 0.05" 0.49" 0.05"  
