 TARGET , a 
 TIME , SCORE , F1 , F2 , F3 , FORMANT_FOUND , Sequence 
 173.968994140625 , 239.0 , 777.9 , 1186.6 , 2678.9 , none , 0.56" 0.0" 0.79" 0.52" 0.58" 0.19" -0.03" 0.38"  
 294.093994140625 , 239.0 , 0.0 , 0.0 , 0.0 , none , 0.56" 0.0" 0.79" 0.52" 0.58" 0.19" -0.03" 0.38"  
 414.4530029296875 , 196.0 , 746.4 , 1180.6 , 2689.7 , none , 0.82" 0.99" 0.79" 0.06" 0.69" 0.72" -0.5" 0.3"  
 414.4530029296875 , 196.0 , 746.4 , 1180.6 , 2689.7 , none , 0.82" 0.99" 0.79" 0.06" 0.69" 0.72" -0.5" 0.3"  
